Patch ID,Bulletin ID,Patch Description,Patch Status,Computer Name,KB Number,Release Date,Vendor
22559,MS17-JUN2,Security Update for Windows Server 2003 (KB4024402),Missing,T3APPP1,4024402,"Jun 12, 2017",Microsoft
22559,MS17-JUN2,Security Update for Windows Server 2003 (KB4024402),Missing,T3FILP1,4024402,"Jun 12, 2017",Microsoft
22559,MS17-JUN2,Security Update for Windows Server 2003 (KB4024402),Missing,T3TELP4,4024402,"Jun 12, 2017",Microsoft
22559,MS17-JUN2,Security Update for Windows Server 2003 (KB4024402),Missing,T3BRZP2,4024402,"Jun 12, 2017",Microsoft
22559,MS17-JUN2,Security Update for Windows Server 2003 (KB4024402),Missing,T3TELP2,4024402,"Jun 12, 2017",Microsoft
22559,MS17-JUN2,Security Update for Windows Server 2003 (KB4024402),Missing,T3SECP1,4024402,"Jun 12, 2017",Microsoft
22559,MS17-JUN2,Security Update for Windows Server 2003 (KB4024402),Missing,T3FILP3,4024402,"Jun 12, 2017",Microsoft
22563,MS17-JUN2,Security Update for Windows Server 2003 for x64-based Systems (KB4024402),Missing,T3TSMP1,4024402,"Jun 12, 2017",Microsoft
22566,MS17-JUN2,Security Update for Windows Server 2008 (KB4018106),Missing,T8CTSP1,4018106,"Jun 12, 2017",Microsoft
22570,MS17-JUN2,Security Update for Windows Server 2008 (KB4022010),Missing,T8CTSP1,4022010,"Jun 12, 2017",Microsoft
22684,MS17-013,Security Update for Windows Server 2003 (KB4012583),Missing,T3APPP1,4012583,"Jun 9, 2017",Microsoft
22684,MS17-013,Security Update for Windows Server 2003 (KB4012583),Missing,T3FILP1,4012583,"Jun 9, 2017",Microsoft
22684,MS17-013,Security Update for Windows Server 2003 (KB4012583),Missing,T3TELP4,4012583,"Jun 9, 2017",Microsoft
22684,MS17-013,Security Update for Windows Server 2003 (KB4012583),Missing,T3BRZP2,4012583,"Jun 9, 2017",Microsoft
22684,MS17-013,Security Update for Windows Server 2003 (KB4012583),Missing,T3TELP2,4012583,"Jun 9, 2017",Microsoft
22684,MS17-013,Security Update for Windows Server 2003 (KB4012583),Missing,T3SECP1,4012583,"Jun 9, 2017",Microsoft
22684,MS17-013,Security Update for Windows Server 2003 (KB4012583),Missing,T3FILP3,4012583,"Jun 9, 2017",Microsoft
22687,MS17-013,Security Update for Windows Server 2003 for x64-based Systems (KB4012583),Missing,T3TSMP1,4012583,"Jun 9, 2017",Microsoft
22690,MS17-JUN6,Security Update for Windows Server 2003 (KB4022747),Missing,T3APPP1,4022747,"Jun 15, 2017",Microsoft
22690,MS17-JUN6,Security Update for Windows Server 2003 (KB4022747),Missing,T3FILP1,4022747,"Jun 15, 2017",Microsoft
22690,MS17-JUN6,Security Update for Windows Server 2003 (KB4022747),Missing,T3TELP4,4022747,"Jun 15, 2017",Microsoft
22690,MS17-JUN6,Security Update for Windows Server 2003 (KB4022747),Missing,T3BRZP2,4022747,"Jun 15, 2017",Microsoft
22690,MS17-JUN6,Security Update for Windows Server 2003 (KB4022747),Missing,T3TELP2,4022747,"Jun 15, 2017",Microsoft
22690,MS17-JUN6,Security Update for Windows Server 2003 (KB4022747),Missing,T3SECP1,4022747,"Jun 15, 2017",Microsoft
22690,MS17-JUN6,Security Update for Windows Server 2003 (KB4022747),Missing,T3FILP3,4022747,"Jun 15, 2017",Microsoft
22692,MS17-JUN6,Security Update for Windows Server 2003 for x64-based Systems (KB4022747),Missing,T3TSMP1,4022747,"Jun 15, 2017",Microsoft
22698,MS17-JUN6,Security Update for Windows Server 2003 (KB4025218),Missing,T3APPP1,4025218,"Jun 15, 2017",Microsoft
22698,MS17-JUN6,Security Update for Windows Server 2003 (KB4025218),Missing,T3FILP1,4025218,"Jun 15, 2017",Microsoft
