Computer_Name,Software_Name,Software_Version,Software_Installed_Date
MXBC003W0089,Trend Micro OfficeScan Agent,12.0.1988,20191009
MXBC003W0095,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0095,Trend Micro OfficeScan Agent,12.0.1988,20191009
MXBC003W0096,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0096,Trend Micro OfficeScan Agent,12.0.1988,20190926
MXBC003W0097,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0097,Trend Micro OfficeScan Agent,12.0.1988,20190709
MXBC003W0098,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0098,Trend Micro OfficeScan Agent,12.0.1988,20191018
MXBC003W0099,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0099,Trend Micro OfficeScan Agent,12.0.1988,20190927
MXBC003W0100,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0100,Trend Micro OfficeScan Agent,12.0.1988,20190501
MXBC003W0101,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0101,Trend Micro OfficeScan Agent,12.0.1988,20190923
MXBC003W0102,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0102,Trend Micro OfficeScan Agent,12.0.1988,20190409
MXBC003W0103,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0103,Trend Micro OfficeScan Agent,12.0.1988,20190917
MXBC003W0105,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0105,Trend Micro OfficeScan Agent,12.0.1988,20190716
MXBC003W0106,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0106,Trend Micro OfficeScan Agent,12.0.1988,20190613
MXBC003W0109,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0109,Trend Micro OfficeScan Agent,12.0.1988,20210112
MXBC003W0111,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0111,Trend Micro OfficeScan Agent,12.0.1988,20191029
MXBC003W0113,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0113,Trend Micro OfficeScan Agent,12.0.1988,20190930
MXBC003W0114,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0114,Trend Micro OfficeScan Agent,12.0.1988,20180924
MXBC003W0116,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0116,Trend Micro OfficeScan Agent,12.0.1988,20191001
MXBC003W0117,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0117,Trend Micro OfficeScan Agent,12.0.1988,20190613
MXBC003W0122,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0122,Trend Micro OfficeScan Agent,12.0.1988,20170815
MXBC003W0123,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0123,Trend Micro OfficeScan Agent,12.0.1988,20191018
